Combined oral contraceptive pill[17],the Pill,009.009 (1 of 11)[29],000.300.3,Estrogen & progestogen + Placebo[30],Oral medication, 00.010  Daily,$0 - $,$0 - $
Ethinylestradiol/etonogestrel vaginal ring[17],"NuvaRing, the ring",009.009 (1 of 11),000.300.3,Estrogen & progestogen,Vaginal insertion, 00.099  In place 3 weeks / 1 week break,$0 - $,$0 - $
Progestogen only pill[17],"POP, minipill",009.009[29],000.300.3,Progestogen[30],Oral medication, 00.010  Daily,$0 - $,$0 - $
Ormeloxifene[31],"Saheli, Centron",009.009,002.002,SERM,Oral medication, 00.070  Weekly,$0 - $,$0 - $
Emergency contraception pill,Plan B One-Step®,100.00no data,100.00no data,Levonorgestrel,Oral medication, 00.030  Every act of intercourse,$0 - $,$0 - $
Standard Days Method[17],"CycleBeads, iCycleBeads",012.0012 (1 of 8.3),005.005,Behavioral,Counting days since menstruation, 00.010  Daily,$0 - $,$0 - $
Diaphragm and spermicide[17],,012.0012 (1 of 6),006.006,Barrier & spermicide,Vaginal insertion, 00.030  Every act of intercourse,$0 - $,$0 - $
Plastic contraceptive sponge with spermicide used by nulliparous[17][26],"Today sponge, the sponge",012.0012,009.009,Barrier & spermicide,Vaginal insertion, 00.030  Every act of intercourse,$0 - $,$0 - $
gray2002[24] cervical cap and spermicide (discontinued in 2008) used by parous[25][25][32],Lea's Shield,015.0015 (1 of 6),100.00no data,Barrier + spermicide,Vaginal insertion, 00.030  Every act of intercourse,$0 - $,$0 - $
gray1988 cervical cap and spermicide (discontinued in 2005) used by nulliparous[26],Prentif,016.0016,009.009,Barrier + spermicide,Vaginal insertion, 00.030  Every act of intercourse,$0 - $,$0 - $
Male latex condom[17][29],Condom,018.0018 (1 of 5),002.002,Barrier,Placed on erect penis, 00.030  Every act of intercourse,$0 - $,$0 - $
Female condom[17],,021.0021 (1 of 4.7),005.005,Barrier,Vaginal insertion, 00.030  Every act of intercourse,$0 - $,$0 - $
Coitus interruptus[17],"withdrawal method, pulling out",022.0022 (1 of 5)[33],004.004,Behavioral,Withdrawal, 00.030  Every act of intercourse,$0 - $,$0 - $
Symptoms-based fertility awareness ex. symptothermal and calendar-based methods[17][34][35],"TwoDay method, Billings ovulation method, Creighton Model",024.0024  (1 of 4),003.003–4,Behavioral,"Observation and charting of basal body temperature, cervical mucus or cervical position",, 00.006  Throughout day or daily[36],
Calendar-based methods[17],"the rhythm method, Knaus-Ogino method, Standard Days method",100.00no data,005.005,Behavioral,Calendar-based, 00.010  Daily,$0 - $,$0 - $
Plastic contraceptive sponge with spermicide used by parous[17][32],"Today sponge, the sponge",024.0024 (1 of 4),020.0020,Barrier & spermicide,Vaginal insertion, 00.030  Every act of intercourse,$0 - $,$0 - $
"Spermicidal gel, foam, suppository, or film[17]",,028.0028 (1 of 4),018.0018,Spermicide,Vaginal insertion, 00.030  Every act of intercourse,$0 - $,$0 - $
gray1988 cervical cap and spermicide (discontinued in 2005) used by parous[32],Prentif,032.0032,026.0026,Barrier + spermicide,Vaginal insertion, 00.030  Every act of intercourse,$0 - $,$0 - $
Abstinence pledge[37][38]date=December 2017,,050.0050–57.5 (estimated) (1 of 2),100.00no data,Behavioral,Commitment, 98.000  Once,$0 - $,$0 - $
None (unprotected intercourse)[17],,085.0085 (6 of 7),085.0085,Behavioral,Discontinuing birth control, 98.000  N/A,$0 - $,$0
Placebo[39],,"100.00100[40] (all, after about half a year)",100.00100,Placebo,Oral medication, 00.010  Daily,$0 - $,$0 - $
Birth control method,Brand/common name,Typical-use failure rate (%),Perfect-use failure rate (%),Type,Implementation,User action required,Initial Cost,Cost (per year)
