Audio compression format,Creator,First public release date,Latest stable version,Cost,,Proprietary implementations (codecs),Open-source implementations (codecs),Uses (other than consumer audio),Music reproduction (consumer audio),Telephony app,Lossless audio compression,Patented,DRM
GSM-FR,ETSI Special Mobile Group,1990-1994 (ETS 300 580-2),ETSI EN 300 961 V8.1.1 (2000–11),,,,"FFmpeg (decoding only), FFmpeg with external library libgsm, Ekiga and other VoIP software",voice recording,,,,,No
HE-AAC,ISO/IEC MPEG Audio Committee,2003,ISO/IEC 14496-3,,,,,,,,,,
iLBC,Global IP Solutions,2002,RFC 3951,,,"Cisco IP Communicator,[20] old versions of Skype[21]","Ekiga, Asterisk (PBX) and other VoIP software, FFmpeg with libilbc library",voice recording,,,,,No
iSAC,Global IP Solutions,,,,,Yahoo! Messenger,WebRTC,voice recording,,,,Yes[23],
Monkey's Audio,Matthew T. Ashland,2000,5.47 (2020.06.30),,,Monkey's Audio,FFmpeg (decoding only),Music Archival,,,,No,No
"MP2 (MPEG-1, 2 Audio Layer II)",ISO/IEC MPEG Audio Committee,1993,"ISO/IEC 11172-3, ISO/IEC 13818-3",,,"various DVD software, video software, audio software","TooLAME (encoding only), TwoLAME (encoding only), FFmpeg","DAB, DVB, DVD",,,,,
MP3,ISO/IEC MPEG Audio Committee,1993,"ISO/IEC 11172-3, ISO/IEC 13818-3",,,"FhG, l3enc, MP3enc, (old implementations: Xing TOMPG, SCMPX)","LAME (encoding only), FFmpeg (decoding only), libmad (decoding only), Audiocogs[26] (decoding only), (old implementations: BladeEnc)",-,,,,No[27],"Yes (optional, rarely used)"
Musepack,Frank Klemm/MDT,1997,1.30 (2009-04-02),,,,"Musepack,[28] FFmpeg (decoding only)",-,,,,No,No
Nellymoser Asao,Nellymoser Inc.,2002,,,,"Adobe Flash, Flash Player",FFmpeg,voice recording,,,,Yes,
Opus,"Xiph.Org Foundation, Internet Engineering Task Force",2012-09-11,RFC 6716 (libopus 1.3),,,,"libopus, FFmpeg","Speech, VoIP, Low latency, Studio/transmitter link, wireless audio, voice recording, WebRTC",,,,,No
SBC,Bluetooth SIG,2003,A2DP 1.3 (2012-07-24),Free for Bluetooth,Free for Bluetooth,A2DP,"BlueZ, FFmpeg",Bluetooth audio,,,,Yes,No
Shorten,Tony Robinson,1993-03-30,3.6.1,,,Shorten,FFmpeg (decoding only),-,,,,No (with commercial use restriction)[30][31],No
SILK,Skype Limited,2009-01-07,Merged into Opus,,,Skype,SILK Speech Codec,voice recording,,,,Yes,
Siren 7,PictureTel Corp. (now Polycom Inc.),1999,,,,Microsoft Office Communicator,"FreeSWITCH (libg722_1,[32] aMSN (libsiren - part of libmsn)[33][34]",voice recording,,,,Yes,
Speex,"Xiph.Org Foundation, Jean-Marc Valin",2003-03-24,1.2.0 (obsoleted by Opus),,,Adobe Flash Player 10,"Speex,[35] FFmpeg with libspeex library",voice recording,,,,No,No
SVOPC,Skype Limited,2007,,,,Skype,,voice recording,,,,Yes,
True Audio (TTA),TAU Software,1999,2.3 (2015-02-24),,,,"TTA,[36] FFmpeg",-,,,,No,No
TwinVQ,Nippon Telegraph and Telephone,1996 (?),,,,"Winamp with VQF plugin, NTT TwinVQ player/encoder, Yamaha SoundVQ player, Nero Media Player",FFmpeg (decoding only)[37],speech,,,,Yes,
Vorbis (Ogg),Xiph.Org Foundation,2000-05-11,1.3.6,,,,"libvorbis,[38] aoTuV,[39] FFmpeg",-,,,,No,No
WavPack,Conifer Software,1998,5.3.0 (2020-04-14),,,,"WavPack,[40] FFmpeg",Music archival,,,,No,No
Windows Media Audio,Microsoft,1999,11.0,Free for consumer licensees of the Windows operating system date=February 2019,Free for licensees of the Windows operating system[41],"Windows Media Player, Windows Media Encoder","FFmpeg (decoding only for Pro, Lossless and Voice)",internet streaming,,,,Yes,Optional[42]
Audio compression format,Creator,First public release date,Latest stable version,Encoder,Player,Proprietary implementations (codecs),Open-source implementations (codecs),Uses (other than consumer audio),Music reproduction (consumer audio),Telephony app,Lossless audio compression,Patented,DRM
,,,,cost,,,,,,,,,
