Vehicle,Origin,Manufacturer,Mass to ... (kg),,,Launches (+ suborbital),Date of flight,
Delta 0900,,McDonnell Douglas,1300[209],,818 to SSO[207],2[207],1972,1972
Delta 1410,,McDonnell Douglas,340[210],,,1[207],1975,1975
Delta 1604,,McDonnell Douglas,390[211],,,2[207],1972,1973
Delta 1900,,McDonnell Douglas,1800[207],,,1[207],1973,1973
Delta 1910,,McDonnell Douglas,1066[212],,,1[207],1975,1975
Delta 1913,,McDonnell Douglas,328[213],,,1[207],1973,1973
Delta 1914,,McDonnell Douglas,,680[214],,2[207],1972,1973
Delta 2310,,McDonnell Douglas,336[215],,,3[207],1974,1981
Delta 2313,,McDonnell Douglas,,,243 to GEO[216],3[207],1974,1977
Delta 2910,,McDonnell Douglas,1887[207],,,6[207],1975,1978
Delta 2913,,McDonnell Douglas,2000[217],700[217],,6[207],1975,1976
Delta 2914,,McDonnell Douglas,,724[207],,30[207],1974,1979
Delta 3910,,McDonnell Douglas,2494[207],1154 with PAM-D,,10[207],1980,1988
Delta 3913,,McDonnell Douglas,816[218],,,1[207],1981,1981
Delta 3914,,McDonnell Douglas,,954[207],,13[207],1975,1987
Delta 3920,,McDonnell Douglas,3452[207],1284 with PAM-D,,10[207],1982,1989
Delta 3924,,McDonnell Douglas,,1104[207],,4[207],1982,1984
Delta 4925,,McDonnell Douglas,3400[219],1312[207],,2[207],1989,1990
Delta 5920,,McDonnell Douglas,3848[220],,,1[207],1989,1989
Delta II 6920,,McDonnell Douglas,3983[207],,,3[207],1990,1992
Delta II 6925,,McDonnell Douglas,,1447[207],,14[207],1989,1992
Delta II 7320,,Boeing IDS / ULA,2865[207],,1651 to SSO,12[207],1999,2015
Delta II 7326,,Boeing IDS,,934[207],636 to TLI 629 to HCO,3[207],1998,2001
Delta II 7420,,ULA,3185[207],,1966 to SSO,14[207],1998,2018
Delta II 7425,,Boeing IDS,,1100[207],804 to HCO,4[207],1998,2002
Delta II 7426,,Boeing IDS,,1058[207],734 to TLI 711 to HCO,1[207],1999,1999
Delta II 7920,,Boeing IDS / ULA,5030[207],,3123 to SSO,29[207],1998,2017
Delta II 7925,,Boeing IDS / ULA,,1819[207],"1,177 to TLI 1,265 to HCO",69[207],1990,2009
Delta II-H 7920H,,Boeing IDS / ULA,6097[207],,,3[207],2003,2011
Delta II-H 7925H,,Boeing IDS / ULA,,2171,"1,508 to HCO[207]",3[207],2003,2007
Delta III 8930,,Boeing IDS,8292[207],3810,,3[207],1998,2000
Delta IV M,,Boeing IDS,9440[29],4440,7690 to polar,3[30],2003,2006
"Delta IV M+(4,2)",,ULA,13140[29],6390,10250 to polar,14[30],2002,2019
"Delta IV M+(5,2)",,ULA,11470[29],5490,9600 to polar,3[30],2012,2018
"Delta IV M+(5,4)",,ULA,14140[29],7300,11600 to polar,8[30],2009,2019
Diamant,,SEREB,107[221][222],,,12,1965,1975
Dnepr,,Yuzhmash,3700[223],,,22[223],1999,2015[224]
"EnergiaWithout Buran, and assuming payload providing orbital insertion",,NPO Energia,100000[225],,"20000 to GEO[225] 32,000 to TLI[225]",1 (failed to orbit)[226],1987,1987
Energia-Buran,,NPO Energia (Launcher) NPO Molniya (Orbiter),"30000[225]name=spaceplaneThe U.S. Space Shuttle Transportation System and the Soviet Energia-Buran system consist of launch vehicle rockets and returnable spaceplane orbiter. Payload values listed here are for the mass of the payload in cargo bay of the spaceplanes, excluding the mass of the spaceplanes themselves.",,,1,1988,1988
Falcon 1,,SpaceX,470[227],,,5[227],2006,2009
Falcon 9 v1.0,,SpaceX,"10,450[228]","4,540[228]",,5[229],2010,2013
Falcon 9 v1.1,,SpaceX,"13,150[230]The SpaceX website lists the F9 payload to LEO as 13,150kg. The payload to GTO is listed as 4,850kg. However, SpaceX has stated that these numbers include a 30% margin to accommodate re-usability.","4,850[230]",,15[229],2013,2016
Feng Bao 1,,Shanghai Bureau No.2,"2,500[231]",,,8 (+3)[232],1972,1981
GSLV Mk.I(a),,ISRO,5000[53],1540[233],,1[233],2001,2001
GSLV Mk.I(b),,ISRO,5000[53],2150[233],,4[233],2003,2007
GSLV Mk.I(c),,ISRO,5000[53],,,1[233],2010,2010
H-I,,Mitsubishi,1400[234],,,9,1986,1992
H-II / IIS,,Mitsubishi,10060[235],4000[236],,7[236],1994,1999
H-IIA 2022,,Mitsubishi,,4500[60],,3[60],2005,2007
H-IIA 2024,,Mitsubishi,11000[237],5000[60],,7[60],2002,2008
H-IIB,,Mitsubishi,"16,500 (ISS)[62]","8,000",,8[238],2009,2020
J-I,,Nissan Motors[239],1000[240],,,0 (+1),1996,1996
Kaituozhe-1,,CALT,100[241],,,2,2002,2003
Kosmos-3M,,NPO Polyot,1500[242],,,442[243],1967,2010
Lambda 4S,,Nissan Motors[239],26[244],,,5,1966,1970
Long March 1,,CALT,300[245],,,2[246],1970,1971
Long March 1D,,CALT,740[247],,,0 (+3)[246],"1995Suborbital test flights in 1995, 1997 and 2002, no orbital launches attempted",2002
Long March 2A,,CALT,2000[248],,,4[77],1974,1978
Long March 2E,,CALT,9200[77],,,7[77],1990,1995
Long March 3,,CALT,5000[79],,,13[79],1984,2000
Long March 3B,,CALT,"11,200[78]","5,100","5,700 to SSO",12[79],1996,2012
Long March 4A,,CALT,4000,,,2[80],1988,1990
M-V,,Nissan Motors[239] (1997–2000) IHI Aerospace[33] (2000–2006),1850[244],,,7,1997,2006
Molniya,,RSC Energia,1800[249],,,40[250],1960,1967
Molniya-M,,RSC Energia,2400[251],,,280[252],1965,2010
Mu-3C,,Nissan Motors[239],195[244],,,4,1974,1979
Mu-3H,,Nissan Motors[239],300[244],,,3,1977,1978
Mu-3S,,Nissan Motors[239],300[244],,,4,1980,1984
Mu-3SII,,Nissan Motors[239],770[244],,,8,1985,1995
Mu-4S,,Nissan Motors[239],180[244],,,4,1971,1972
N1,,NPO Energia,"95000[253][254][255]The N1 rocket was initially designed for 75mt LEO capacity and launch attempts were made with this version, but there were studies to increase the payload capacity to 90–95 mt, if a liquid-hydrogen upper stage engine could be developed.",,,4[256] (never reached orbit),1969,1972
N-I,,Mitsubishi,1200[257],,,7,1975,1982
N-II,,Mitsubishi,2000[258],,,8,1981,1987
Naro-1,,KARI/Khrunichev,100[259],,,3,2009,2013
NOTS-EV-1 Pilot,,United States Navy,1.05[260],,,10,1958,1958
Paektusan,North Korea,KCST,700[261],,,0 (+1),1998,1998
Polyot,,RSC Energia,1400,,,2,1963,1964
Proton-K,,Khrunichev,19760[262],4930[263],,311[264],1965,2012
PSLV-G,,ISRO,3200[123],1050,1600 to SSO,12[123],1993,2016[265]
Rokot,,Khrunichev,1950[266],,1200 to SSO,34[266],1990,2019
Saturn I,,Chrysler (S-I) Douglas (S-IV),9000[267],,,10[268],1961,1965[268]
Saturn IB,,Chrysler (S-IB) Douglas (S-IVB),18600[269],,,9[270],1966,1975
Saturn V,,Boeing (S-IC) North American (S-II) Douglas (S-IVB),140000[271][272],,47000 to TLI[273],"13[274][275]The Saturn V made 13 launches, 12 of which reached the correct orbits, and the other (Apollo 6) reached a different orbit than the one which had been planned; however, some mission objectives could still be completed; NASA, Saturn V News Reference, Appendix: Saturn V Flight History (1968) url=https://web.archive.org/web/20110517075159/http://history.msfc.nasa.gov/saturn_apollo/documents/Flight_History.pdf date=2011-05-17 . For more information, see the Saturn V article. The Saturn V launch record is usually quoted as having never failed, e.g. "The rocket was masterminded by Wernher Von Braun and did not fail in any of its flights", Alan Lawrie and Robert Godwin; Saturn, but the Apollo 6 launch should be considered a partial mission failure. The 13th launch of Saturn V was in special configuration (SA-513) with the Skylab.",1967,1973
Scout,,US Air Force/NASA,174[276],,,125,1961,1994
Shtil',,Makeyev,420 280–420[277],,,2[278],1998,2006
SLV,,ISRO,40[279],,,4[279],1979,1983[279]
Soyuz,,RSC Energia,6450,,,31[280],1966,1976
Soyuz-FG,,TsSKB-Progress,6900[281],,,70[133][282],2001,2019
Soyuz-L,,RSC Energia,5500,,,3[283],1970,1971
Soyuz-M,,RSC Energia,6600,,,8[284],1971,1976
Soyuz-U,,TsSKB-Progress,6650 from Baikonour[285] 6150 from Plesetsk[285],,,786[133][134][286],1973,2017
Soyuz-U2,,TsSKB-Progress,7050,,,72[287],1982,1995
Space Shuttle,,ATK (SRBs) Martin Marietta (External tank) Rockwell (Orbiter),24400name=spaceplane, 4944 with IUS[288] 1200 with PAM-D[289] ,3550 to escape with IUS[288],135[290],1981,2011
Sputnik 8K71PS,,RSC Energia,500[291],,,2,1957,1957
Sputnik 8A91,,RSC Energia,1327,,,2,1958,1958
Start-1,,MITT,532,,350 to SSO[292],5[293],1993,2006
Strela,,Khrunichev,1400[294],,,3[295],2003,2014
Titan II GLV,,Martin Marietta,3600[296],,,11 (+1),1964,1966
Titan II(23)G,,Martin Marietta,3600[297],,,13,1988,2003
Titan IIIA,,Martin Marietta,3100[298],,,4,1964,1965
Titan IIIB,,Martin Marietta,3000[299],,,70,1966,1987
Titan IIIC,,Martin Marietta,13100[300],,,36,1965,1982
Titan IIID,,Martin Marietta,12300[301],,,22,1971,1982
Titan IIIE,,Martin Marietta,15400[302],,,7,1974,1977
Titan 34D,,Martin Marietta,4515[303],,,15,1982,1989
Titan IVA,,Martin Marietta,17110[304],"4,944 with IUS"," 14,090 to SSO[304] 4,536 to GSO with Centaur 3,550 to escape with IUS ",22[305],1989,1998
Titan IVB,,Lockheed Martin,"21,682[306]","5,761[306] (9,000 with upper stage)",,17[305],1997,2005
Tsyklon-2A,,Yuzhmash,3350[307],,,8[308],1967,1969
Tsyklon-2,,Yuzhmash,2820[309],,,106[310],1969,2006[310]
Tsyklon-3,,Yuzhmash,1920[311],,,122[312],1977,2009[312]
Vanguard,,Martin,9[313],,,11 (+1),1957,1959
VLS-1,,"AEB, IAE",380[314],,,2A third rocket exploded before launch. (never reached orbit),1997,2003
Volna,,Makeyev,100[315],,,1 (+5)[278],1995First orbital launch attempt in 2005,2005[278]
Voskhod,,RSC Energia,6000[316],,,306,1963,1976
Vostok-L,,RSC Energia,,,390 to TLI[317],4,1960,1960
Vostok-K,,RSC Energia,2460[318],,,16,1960,1964
Vostok-2,,RSC Energia,4730[318],,,45,1962,1967
Vostok-2M,,RSC Energia,1300[319],,,93,1964,1991
Soyuz/Vostok,,RSC Energia,6000[320],,,2,1965,1966
Zenit-2,,Yuzhnoye,13740[321],,,36[322],1985,2004[323]
Zenit-2M / 2SLB,,Yuzhnoye,13920[321],,,2[322],2007,2011
Zenit-3F,,Yuzhnoye,,,1740 to GEO[324],4[325],2011,2017
Zenit-3SL,,Yuzhmash RSC Energia,7000[325],6160,,36[325],1999,2014
Zenit-3SLB / 3M,,Yuzhmash RSC Energia,,3750[325],,6[325],2008,2013
