Vehicle,Origin,Manufacturer,Payload mass to ... (kg),,,"Orbital launches incl. failuresSuborbital flight tests and on-pad explosions are excluded, but launches failing en route to orbit are included.",Date of flight,
Qased,,Operator: Iranian Revolutionary Guard Corps,,,,1,2020,2020
RS1,,ABL Space Systems,1350[125],400,1000 to SSO 750 to MEO,0,2021[126],
Safir,,Iranian Space Agency,65[127],,,"7[127]Additionally, two rockets exploded on the launch pad, one in 2012 and one in 2019.[127]",2008,2019
Shavit,,IAI,300[128],,,10[129],1988,2020
Simorgh,,Iranian Space Agency,350[130],,,2[130]A suborbital test flight succeeded in 2016; both orbital flights in 2017 and 2019 failed.[130],2017,2019
Soyuz-2.1a,,TsSKB-Progress,7020 from Baikonur[131],,,33[132][133][134],"2006Suborbital test flight in 2004, without Fregat upper stage.[132]",2019
Soyuz-2.1b,,TsSKB-Progress,8200 from Baikonur[131],2400[135],,32[133][136],2006,2019
Soyuz ST-A,Europe,TsSKB-Progress Arianespace,7800 from Kourou[137],2810 with Fregat[138],,6[133],2011,2018
Soyuz ST-B,Europe,TsSKB-Progress Arianespace,9000 from Kourou[139],3250 with Fregat[138],4400 to SSO[140],16[133],2011,2019
Soyuz-2-1v,,TsSKB-Progress,2800[141],,1400 to SSO,5[141],2013,2019
Soyuz-5 / Irtysh,,TsSKB-Progress RSC Energia,"18,000[142]",,"2,500 to GEO",0,2022[143][144],
Space Launch System Block 1with ICPS,,NASA / Boeing (core) Northrop Grumman (SRBs),"95,000[145]",,"26,000 to TLI[145]",0,2021[146],
SLS Block 1Bwith EUS,,NASA / Boeing Northrop Grumman,"105,000[147]",,"37,000 to TLI[145]",0,2025[148],
SLS Block 2with EUS and advanced boosters,,NASA / Boeing Northrop Grumman,"130,000[149]",,"45,000 to HCO[145]",0,late 2020s (TBD),
SS-520,,IHI Aerospace,4[150],,,2[151],"2017[152]A prior version of the SS-520 flew twice as a suborbital sounding rocket in 1998 and 2000. In 2017, the addition of a small third stage enabled orbital launches of ultra-light nano- or picosatellites.[150]",2018
SSLV,,ISRO,500[153],,300 to SSO,0,2020[154],
Starship[155] (Single launch),,SpaceX,"100,000+[155][156]","21,000[157]","100,000+ to SSO[157]",0,2021 (orbital)[158],
Starship[155] (Additional refuelling launches),,SpaceX,"100,000+[155][159]","100,000+ [155]","100,000+ to Mars surface[155] 100,000+ to lunar surface[155]",0,2021-2023 (TBD)[160],
Terran 1,,Relativity Space,1250[161],,900 to SSO,0,2021[162],
Unha,North Korea,KCST,100[163],,,4[164],"2009A suborbital test flight failed in 2006. The first two orbital missions failed in 2009 and 2012, and the rocket finally reached orbit in late 2012.[164]",2016
Vector-R,,Vector Launch,64,,,0 (+2),2017,2017
Vega,Europe,ESA / ASI,1500name=700kmReference altitude 700 km[165],,1330 to SSO[166],15[167],2012,2019
Vega C,Europe,ESA / ASI,2200name=700km[168],,,0,2021[169],
Vega E,Europe,ESA / ASI,3000name=700km[170],,,0,2025[171],
Vikram l[172],,Skyroot Aerospace[173],280,,200 to SSPO,0,2021[174],
Vikram ll[172],,Skyroot Aerospace,520,,410 to SSPO,0,TBATo be announced,
Vikram lll[172],,Skyroot Aerospace,720,,580 to SSPO,0,TBATo be announced,
Vulcan / Centaur,,ULA,27200[175],14400[175],"7,200 to GEO[175] 12,100 to TLI",0,2021[176],
Yun Feng,,National Chung-Shan Institute of Science and Technology,200[177],,,0,TBATo be announced,
Yenisei[178],,TsSKB-Progress RSC Energia,"88,000 – 115,000[144]",,"27,000 to TLI[179][180][181]",0,2028[180],
Zero,,Interstellar Technologies,,,100 to SSOname=500km[182],0,2022–2023[183],
Zhuque-1,,LandSpace,300[184],,200 to SSO,1[185],2018[185],2018
Zhuque-2,,LandSpace,"4,000[186]",,"2,000 to SSO",0,2021[187],
