Launch system,,Country of origin,Class and type,Payload capacity,,,Maiden flight,Manufacturer,Status,Ref
Long March 7,,,Medium lift expendable launch vehicle,13500kg (200km x 400km),5500kg,,2016,CALT,In service,[128]
Long March 9[129],,,Super heavy lift,"140,000[130]","66,000[131]","50,000 to TLI[130] 44,000 to TMI[132]",2028[133]–2030[132],CALT,In development,
Long March 11,,,Small lift expendable launch vehicle,700kg,,350kg to 700km (Sun-synchronous orbit),2015,CALT,In service,[134]
Mu (rocket family),Mu-3C,,Small lift expendable launch vehicle,195kg,,,1974,ISAS/Nissan/IHI,Retired,[135]
,Mu-3H,,Small lift expendable launch vehicle,300kg,,,1977,,Retired,
,Mu-3S,,Small lift expendable launch vehicle,300kg,,,1980,,Retired,
,Mu-3SII,,Small lift expendable launch vehicle,770kg,,,1985,,Retired,
,Mu-4S,,Small lift expendable launch vehicle,180kg,,,1971,,Retired,
,M-V,,Small lift expendable launch vehicle,1850kg,,1300kg to Polar LEO,1997,,Retired,
N (rocket family),N-I,,Small lift expendable launch vehicle,1200kg,360kg,,1975,Mitsubishi Heavy Industries/McDonnell Douglas,Retired,[136]
,N-II,,Medium lift expendable launch vehicle,2000kg,730kg,,1981,,Retired,[137]
Paektusan-1,,,Small lift expendable launch vehicle,700kg,,,1998,KCST,Retired,[138]
Polar Satellite Launch Vehicle,PSLV-G,,Medium lift expendable launch vehicle,3200kg,1050kg,1600kg to SSO,1993,ISRO,Retired,[139]
,PSLV-CA,,Medium lift expendable launch vehicle,2100kg,,1100kg to SSO,2007,,In service,
,PSLV-XL,,Medium lift expendable launch vehicle,3800kg,1300kg,1750kg to SSO 1350kg to TMI,2008,,In service,
,PSLV-DL,,Medium lift expendable launch vehicle,2100kg,,1100kg to SSO,2019,,In service,
,PSLV-QL,,Medium lift expendable launch vehicle,3800kg,1300kg,1750kg to SSO 1350kg to TMI,2019,,In service,
,PSLV-3S,,Small lift expendable launch vehicle,500kg (550km,,,,,Concept only,
Qonoos,,,Medium lift expendable launch vehicle,3500kg,1500kg,,2025 (Projected),ISA,Under development,date=December 2019
Reusable Launch Vehicle,,,TSTO Reusable launch system,,,,2016 (Flight experiment),ISRO,Under development,[140]
RPS-420,Pengorbitan-1,,Small lift expendable launch vehicle,25kg,,,TBD,LAPAN,Proposed,[141]
,Pengorbitan-2,,Small lift expendable launch vehicle,50kg,,,TBD,,Proposed,
S-Series (rocket family),SS-520,,Small lift expendable launch vehicle,100kg (>300km,,,1980,IHI Corporation,In service,[142]
Safir,,,Small lift expendable launch vehicle,65kg,,,2008,ISA,In service,[143]
Satellite Launch Vehicle,,,Small lift expendable launch vehicle,40kg (400km,,,1979,ISRO,Retired,[144]
Shavit,,,Small lift expendable launch vehicle,800kg,,,1988,Israel Aerospace Industries,In service,[145]
Simorgh,,,Small lift expendable launch vehicle,350kg,,,2016 (Sub-orbital),ISA,Under development,[146]
Small Satellite Launch Vehicle,,,Small lift expendable launch vehicle,500kg (500km),,300kg,2020 (Planned),ISRO,Under development,[147]
TSLV,,,Small lift expendable launch vehicle,50kg (700km),,,TBD,NSPO,Under development,[148][149]
Unha,,,Small lift expendable launch vehicle,200kg (465km x 502km),,,2009,KCST,In service,[150]
Unified Modular Launch Vehicle,ULV with 6 x S-13 boosters,,Medium lift expendable launch vehicle,4500kg,1500kg,,No earlier than 2022,ISRO,Under development,[92][151][152]
,ULV with 2 x S-60 boosters,,Medium lift expendable launch vehicle,10000kg,3000kg,,No earlier than 2022,,Under development,
,ULV with 2 x S-139 boosters,,Medium lift expendable launch vehicle,12000kg,4500kg,,No earlier than 2022,,Under development,
,ULV with 2 x S-200 boosters,,Medium lift expendable launch vehicle,15000kg,6000kg,,No earlier than 2022,,Under development,
,HLV variant,,Heavy lift expendable launch vehicle,20000kg,10000kg,,2020s,,Under development,
,SHLV variant,,Super heavy lift expendable launch vehicle,41300kg-60000kg,16300kg,,2020s,,Under development,
Uydu F?rlatma Sistemi,,,Small lift expendable launch vehicle,Microsatellites (700km),,,TBD,ROKETSAN,Under development,[153]
Yun Feng SLV,,,Small lift expendable launch vehicle,200kg (500km,,,TBD,NCSIST,Under development,[149]
