Research Networking Tool,Data Source / Infeed Functionality,Auto Ingest?,Linked Open Data?,Data Export Types
Elsevier's SciVal,Scopus and ScienceDirect usage data,,,"CSV, PDF, PNG, JPEG"
Epernicus Solutions & Epernicus Network,Data entered by applicant,,Unknown,Unknown
ERIM Member Profile System (ERIM MIS),"ERIM MIS database, Erasmus Publication Repository, Oracle portal",,Unknown,Unknown
Esploro,"Information is imported from ProQuest‘s Summon Service and from the following sources: PubMed, ORCID, BiBTeX, a RESTful web services API, CSV Data Imports, etc. Also supports methods of manual entry.",,,"RTF, XLS, CSV, PDF, HTML, XML"
EUREKA! Enhancing Student Research,Information about faculty research interests,,Unknown,Unknown
Expertise @ Maryland,Central university faculty database,,Unknown,Unknown
Faculty Profile System,"Manually entered data about the faculty (faculty can enter, a proxy can enter, or designated staff work on maintaining profiles)",,Unknown,Unknown
Faculty Research Information Profile (FRIP),Discontinued. Work on this system ceased; moved on to developing Digital Vita,N/A,N/A,N/A
Faculty Scholarly Productivity Index,FSP Database (2007–2008),,Unknown,Unknown
GENIUS,InfoEd proprietary grant funding databases,,Unknown,Unknown
Google,"Institution's directory, news releases, and other institutional websites",,,"Many types, depending on the format of the file retrieved."
HUBzero,"Comprehensive portal to support virtual research organizations including modular Web 2.0 tools, modeling and simulation tools, computational integration, identity management, workflow, personal profile management, data management, education",,,Unknown
iamResearcher,Unknown,Unknown,Unknown,Unknown
iAMscientist,PubMed,,Unknown,Unknown
i2iConnect,Listings of industry licensing representatives categorized by product and disease categories with matchmaking and collaborator discovery features,,Unknown,Unknown
InCites,"Clarivate Analytics Web of Science, ESI, JCR",,,"XML, .mbb, XLS"
INDURE (Indiana Database for University Research Expertise),"Faculty-entered information about research, faculty home pages",,Unknown,Unknown
Lattes Database,Unknown,Unknown,Unknown,Unknown
LatticeGrid,"Medical School Faculty database, PubMed, InfoEd, Northwestern's eIRB database",,,"Microsoft Word, Excel, PDF"
LinkedIn,Information entered manually by user,,Unknown,Unknown
Life Science Network,PubMed / Information entered manually by user.,,Yes,CSV (for some modules).
Loki,"Local Medline, PubMed, local NSF award database, local NIH RePORTER database, campus directory services",,Unknown,Unknown
Lyterati,"PubMed, Google Scholar, BibTex, Ellucian, PeopleSoft, Workday, RESTful APIs, Template Driven Imports, CSV, Excel, Manual Entry Using Webpages, Faculty CVs",,Unknown,"PDF, MS Word, Excel, CSV, Web Services"
McCormick Collaboration Visualization Tool,Clarivate Analytics Web of Science,,Unknown,Unknown
MizzouLinks,Information collected from interviews and imported from a few institutional systems,,Unknown,Unknown
MyScienceWork,Information input by user,,Unknown,Unknown
OSU:pro,OSU systems,,Unknown,Unknown
Pivot,"Combines editorially created data on funding opportunities and profiles. Profile data sources from publicly available university organization and faculty member/researcher information, user-generated data, PubMed, Agricola, ERIC, and ProQuest citation databases, indexed faculty/researcher webpages.",",,Unknown
Profiles Research Networking Software,"HR systems, PubMed, NIH RePORTER, commercial sources of publication data, institution-provided and user managed data",,,"XML, RDF, SPARQL"
REACH NC Life Science Experts Visualization Tool,"SciVal Experts, RAMSES",,,"RSI, CSV, Web-service API"
Research Accelerator,Information entered by individual members,,Unknown,Unknown
ResearcherID,"Manually entered biographical and bibliographical information. Members can search Web of Science, Web of Knowledge, and other online collections, or manually enter publication data. Accounts can be created by individuals or by administrators using a web service.",,,None
SciENcv,Information that would normally be found in a curriculum vitae or biosketch,,Unknown,Uses open data exchange standards
Symplectic Elements,"Custom import from any internal data source via API, out of the box automatic bibliographic import (subject to subscriptions where appropriate) from arXiv, Cinii, CrossRef, DBLP, Europe PMC, figshare, PubMed, RePeC, Scopus, Web of Science, with more planned. Secure ORCID integration also available. In-feed from HR/Identity systems, internal grant databases. Integration with all major repository technologies.",,,"CSV, CERIF XML, MS Word, Excel, PDF (APA6), ATOM/XML web services, EndNote/Reference Manager, BibTex, RDF (Linked Data), various government assessment submission formats"
UNIWeb,"Users can enter their CV or bibliographic data manually, or import from the Canadian Common CV, PubMed, Google Scholar, Scopus, Web of Science, Bibtek, Endnote.",Unknown,Unknown,"XML, MS Word, Excel"
VIVO,"PubMed, NIH RePORTER, PeopleSoft, internal HR & administrative databases, Scopus (with institutional license), Web of Science (with institutional license); emphasis on verified data sources, many many others being ingested at various institutions.",",,"RDF, GraphXML, CSV file"
Yaffle,Memorial University systems,,Unknown,Unknown
