Vehicle,Origin,Manufacturer,Payload mass to ... (kg),,,Orbital launches incl. failures[a],Date of flight,
Long March 7A,China,CALT,,"5,500 to 7,000[80]",,1,2020,2020
Long March 8 (partially reusable)[86],China,CALT,,"2,800","5,000 to SSO",0,2020[86],
Long March 9[87],China,CALT,"140,000[88]","66,000[89]","50,000 to TLI[88] 40,000 to TMI[86]",0,2028[90]–2030[86],
Long March 11,China,CALT,700[91],,350 to SSO,8[92],2015,2019
Minotaur I,United States,Northrop Grumman,580[93],,,10[94],2000,2013
Minotaur IV,United States,Northrop Grumman,"1,735[95]",,,4[96],2010,2017
Minotaur V,United States,Northrop Grumman,,670[96],465 to HCO,1[96],2013,2013
Minotaur-C (Taurus)[97],United States,Northrop Grumman,"1,458[98]",,"1,054 to SSO[q]",10[99],1994,2017
Miura 5,Spain,PLD Space,300[100],,,0,2024[101],
New Glenn,United States,Blue Origin,"45,000[102]","13,000",,0,2021[103],
New Line 1 (partially reusable)[104],China,LinkSpace,,,200 to SSO[104],0,2021[105],
Nuri (KSLV-2),South Korea,KARI,"1,500 at 600–800 km[106]",,,0,2021[106][r],
OS-M1,China,OneSpace,205[107],,143 to SSO,1,2019[108][s],2019
OS-M2,China,OneSpace,390[107],,292 to SSO,0,TBA,
Pegasus,United States,Northrop Grumman,500[110],,,44[110][111],1990,2019
Prime,United Kingdom,Orbex,220[112],,150 to SSO[d][113],0,2021[113],
Proton-M / M+,Russia,Khrunichev,"23,000 (M+)[114] 21,600 (M)[115]","6,920 (M+) 6,150 (M)",,108[116][117][118],2001,2019
PSLV-CA,India,ISRO,"2,100[119]",,"1,100 to SSO",14[119],2007,2019
PSLV-DL,India,ISRO,,,,1[119],2019,2019
PSLV-QL,India,ISRO,,,,2[119],2019,2019
PSLV-XL,India,ISRO,"3,800[119]","1,300","1,750 to SSO 550 to TMI[120]",21[119],2008,2019
Qased,Iran,Operator: Iranian Revolutionary Guard Corps,,,,1,2020,2020
RS1,United States,ABL Space Systems,"1,350[121]",400,"1,000 to SSO 750 to MEO",0,2021[122],
Safir,Iran,Iranian Space Agency,65[123],,,7[123][t],2008,2019
Shavit,Israel,IAI,300[124],,,10[125],1988,2020
Simorgh,Iran,Iranian Space Agency,350[126],,,2[126][u],2017,2019
Soyuz-2.1a,Russia,TsSKB-Progress,"7,020 from Baikonur[127]",,,33[128][129][130],2006[v],2019
Soyuz-2.1b,Russia,TsSKB-Progress,"8,200 from Baikonur[127]","2,400[131]",,32[129][132],2006,2019
Soyuz ST-A,Russia Europe,TsSKB-Progress Arianespace,"7,800 from Kourou[133]","2,810 with Fregat[134]",,6[129],2011,2018
Soyuz ST-B,Russia Europe,TsSKB-Progress Arianespace,"9,000 from Kourou[135]","3,250 with Fregat[134]","4,400 to SSO[136]",16[129],2011,2019
Soyuz-2-1v,Russia,TsSKB-Progress,"2,800[137]",,"1,400 to SSO",5[137],2013,2019
Soyuz-5 / Irtysh,Russia,TsSKB-Progress RSC Energia,"18,000[138]",,"2,500 to GEO",0,2022[139][140],
Space Launch System Block 1[w],United States,NASA / Boeing (core) Northrop Grumman (SRBs),"95,000[141]",,"26,000 to TLI[141]",0,2021[142],
SLS Block 1B[x],United States,NASA / Boeing Northrop Grumman,"105,000[143]",,"37,000 to TLI[141]",0,2025[144],
SLS Block 2[y],United States,NASA / Boeing Northrop Grumman,"130,000[145]",,"45,000 to HCO[141]",0,late 2020s (TBD),
SS-520,Japan,IHI Aerospace,4[146],,,2[147],2017[148][z],2018
SSLV,India,ISRO,500[149],,300 to SSO,0,2020[150],
Starship[151] (Single launch),United States,SpaceX,"100,000+[151][note 5]","21,000[152]","100,000+ to SSO[152]",0,2021 (orbital)[153],
Starship[151] (Additional refuelling launches),United States,SpaceX,"100,000+[151][note 6]","100,000+ [151]","100,000+ to Mars surface[151] 100,000+ to lunar surface[151]",0,2021-2023 (TBD)[154],
Terran 1,United States,Relativity Space,"1,250[155]",,900 to SSO,0,2021[156],
Unha,North Korea,KCST,100[157],,,4[158],2009[aa],2016
Vector-R,United States,Vector Launch,64,,,0 (+2),2017,2017
Vega,Europe,ESA / ASI,"1,500[ab][159]",,"1,330 to SSO[160]",15[161],2012,2019
Vega C,Europe,ESA / ASI,"2,200[ab][162]",,,0,2021[163],
Vega E,Europe,ESA / ASI,"3,000[ab][164]",,,0,2025[165],
Vikram l[166],India,Skyroot Aerospace[167],280,,200 to SSPO,0,2021[168],
Vikram ll[166],India,Skyroot Aerospace,520,,410 to SSPO,0,TBA,
Vikram lll[166],India,Skyroot Aerospace,720,,580 to SSPO,0,TBA,
Vulcan / Centaur,United States,ULA,"27,200[169]","14,400[169]","7,200 to GEO[169] 12,100 to TLI",0,2021[170],
Yun Feng,Taiwan,National Chung-Shan Institute of Science and Technology,200[171],,,0,TBA,
Yenisei[172],Russia,TsSKB-Progress RSC Energia,"88,000 – 115,000[140]",,"27,000 to TLI[173][174][175]",0,2028[174],
Zero,Japan,Interstellar Technologies,,,100 to SSO[d][176],0,2022–2023[177],
Zhuque-1,China,LandSpace,300[178],,200 to SSO,1[179],2018[179],2018
Zhuque-2,China,LandSpace,"4,000[180]",,"2,000 to SSO",0,2021[181],
